"TS","Year","Month","DayOfMon","DayOfYear","Hour","Minute","WndSpd_10m_Max"
"2020-10-27 01:54:00","2020","10","27","301","1","54","1.143"
"2020-10-27 01:55:00","2020","10","27","301","1","55","0.751"
"2020-10-27 01:56:00","2020","10","27","301","1","56","1.274"
"2020-10-27 01:57:00","2020","10","27","301","1","57","1.209"
"2020-10-27 01:58:00","2020","10","27","301","1","58","1.568"
"2020-10-27 01:59:00","2020","10","27","301","1","59","1.699"
"2020-10-27 02:00:00","2020","10","27","301","2","0","1.895"
"2020-10-27 02:01:00","2020","10","27","301","2","1","1.699"
"2020-10-27 02:02:00","2020","10","27","301","2","2","1.633"
"2020-10-27 02:03:00","2020","10","27","301","2","3","1.895"
"2020-10-27 02:04:00","2020","10","27","301","2","4","1.666"
"2020-10-27 02:05:00","2020","10","27","301","2","5","1.601"
"2020-10-27 02:06:00","2020","10","27","301","2","6","1.568"
"2020-10-27 02:07:00","2020","10","27","301","2","7","1.862"
"2020-10-27 02:08:00","2020","10","27","301","2","8","1.862"
"2020-10-27 02:09:00","2020","10","27","301","2","9","2.254"
"2020-10-27 02:10:00","2020","10","27","301","2","10","1.535"
"2020-10-27 02:11:00","2020","10","27","301","2","11","1.437"
"2020-10-27 02:12:00","2020","10","27","301","2","12","1.829"
"2020-10-27 02:13:00","2020","10","27","301","2","13","1.666"
"2020-10-27 02:14:00","2020","10","27","301","2","14","1.535"
"2020-10-27 02:15:00","2020","10","27","301","2","15","1.307"
"2020-10-27 02:16:00","2020","10","27","301","2","16","1.731"
"2020-10-27 02:17:00","2020","10","27","301","2","17","2.189"
"2020-10-27 02:18:00","2020","10","27","301","2","18","2.091"
"2020-10-27 02:19:00","2020","10","27","301","2","19","2.352"
"2020-10-27 02:20:00","2020","10","27","301","2","20","2.352"
"2020-10-27 02:21:00","2020","10","27","301","2","21","1.731"
"2020-10-27 02:22:00","2020","10","27","301","2","22","1.862"
"2020-10-27 02:23:00","2020","10","27","301","2","23","1.895"
"2020-10-27 02:24:00","2020","10","27","301","2","24","1.764"
"2020-10-27 02:25:00","2020","10","27","301","2","25","2.058"
"2020-10-27 02:26:00","2020","10","27","301","2","26","2.581"
"2020-10-27 02:27:00","2020","10","27","301","2","27","2.156"
"2020-10-27 02:28:00","2020","10","27","301","2","28","1.797"
"2020-10-27 02:29:00","2020","10","27","301","2","29","1.535"
"2020-10-27 02:30:00","2020","10","27","301","2","30","1.699"
"2020-10-27 02:31:00","2020","10","27","301","2","31","2.123"
"2020-10-27 02:32:00","2020","10","27","301","2","32","2.091"
"2020-10-27 02:33:00","2020","10","27","301","2","33","1.96"
"2020-10-27 02:34:00","2020","10","27","301","2","34","1.993"
"2020-10-27 02:35:00","2020","10","27","301","2","35","2.058"
"2020-10-27 02:36:00","2020","10","27","301","2","36","1.829"
"2020-10-27 02:37:00","2020","10","27","301","2","37","1.699"
"2020-10-27 02:38:00","2020","10","27","301","2","38","1.503"
"2020-10-27 02:39:00","2020","10","27","301","2","39","1.274"
"2020-10-27 02:40:00","2020","10","27","301","2","40","1.895"
"2020-10-27 02:41:00","2020","10","27","301","2","41","1.535"
"2020-10-27 02:42:00","2020","10","27","301","2","42","1.437"
"2020-10-27 02:43:00","2020","10","27","301","2","43","1.437"
"2020-10-27 02:44:00","2020","10","27","301","2","44","1.437"
"2020-10-27 02:45:00","2020","10","27","301","2","45","1.535"
"2020-10-27 02:46:00","2020","10","27","301","2","46","1.274"
"2020-10-27 02:47:00","2020","10","27","301","2","47","1.372"
"2020-10-27 02:48:00","2020","10","27","301","2","48","1.176"
"2020-10-27 02:49:00","2020","10","27","301","2","49","1.209"
"2020-10-27 02:50:00","2020","10","27","301","2","50","1.437"
"2020-10-27 02:51:00","2020","10","27","301","2","51","1.437"
"2020-10-27 02:52:00","2020","10","27","301","2","52","1.241"
"2020-10-27 02:53:00","2020","10","27","301","2","53","0.98"
"2020-10-27 02:54:00","2020","10","27","301","2","54","1.111"
"2020-10-27 02:55:00","2020","10","27","301","2","55","1.013"
"2020-10-27 02:56:00","2020","10","27","301","2","56","1.045"
"2020-10-27 02:57:00","2020","10","27","301","2","57","1.503"
"2020-10-27 02:58:00","2020","10","27","301","2","58","1.862"
"2020-10-27 02:59:00","2020","10","27","301","2","59","2.091"
"2020-10-27 03:00:00","2020","10","27","301","3","0","2.123"
"2020-10-27 03:01:00","2020","10","27","301","3","1","2.711"
"2020-10-27 03:02:00","2020","10","27","301","3","2","2.319"
"2020-10-27 03:03:00","2020","10","27","301","3","3","1.764"
"2020-10-27 03:04:00","2020","10","27","301","3","4","2.091"
"2020-10-27 03:05:00","2020","10","27","301","3","5","1.96"
"2020-10-27 03:06:00","2020","10","27","301","3","6","2.417"
"2020-10-27 03:07:00","2020","10","27","301","3","7","2.254"
"2020-10-27 03:08:00","2020","10","27","301","3","8","2.385"
"2020-10-27 03:09:00","2020","10","27","301","3","9","1.797"
"2020-10-27 03:10:00","2020","10","27","301","3","10","1.797"
"2020-10-27 03:11:00","2020","10","27","301","3","11","1.797"
"2020-10-27 03:12:00","2020","10","27","301","3","12","2.156"
"2020-10-27 03:13:00","2020","10","27","301","3","13","1.862"
"2020-10-27 03:14:00","2020","10","27","301","3","14","1.96"
"2020-10-27 03:15:00","2020","10","27","301","3","15","1.797"
"2020-10-27 03:16:00","2020","10","27","301","3","16","1.633"
"2020-10-27 03:17:00","2020","10","27","301","3","17","2.45"
"2020-10-27 03:18:00","2020","10","27","301","3","18","2.091"
"2020-10-27 03:19:00","2020","10","27","301","3","19","2.254"
"2020-10-27 03:20:00","2020","10","27","301","3","20","2.123"
"2020-10-27 03:21:00","2020","10","27","301","3","21","1.339"
"2020-10-27 03:22:00","2020","10","27","301","3","22","1.339"
"2020-10-27 03:23:00","2020","10","27","301","3","23","1.699"
"2020-10-27 03:24:00","2020","10","27","301","3","24","1.927"
"2020-10-27 03:25:00","2020","10","27","301","3","25","2.221"
"2020-10-27 03:26:00","2020","10","27","301","3","26","1.372"
"2020-10-27 03:27:00","2020","10","27","301","3","27","2.711"
"2020-10-27 03:28:00","2020","10","27","301","3","28","2.581"
"2020-10-27 03:29:00","2020","10","27","301","3","29","2.417"
"2020-10-27 03:30:00","2020","10","27","301","3","30","2.94"
"2020-10-27 03:31:00","2020","10","27","301","3","31","2.025"
"2020-10-27 03:32:00","2020","10","27","301","3","32","2.091"
"2020-10-27 03:33:00","2020","10","27","301","3","33","2.091"
"2020-10-27 03:34:00","2020","10","27","301","3","34","1.601"
"2020-10-27 03:35:00","2020","10","27","301","3","35","2.287"
"2020-10-27 03:36:00","2020","10","27","301","3","36","1.601"
"2020-10-27 03:37:00","2020","10","27","301","3","37","1.666"
"2020-10-27 03:38:00","2020","10","27","301","3","38","1.503"
"2020-10-27 03:39:00","2020","10","27","301","3","39","1.993"
"2020-10-27 03:40:00","2020","10","27","301","3","40","2.025"
"2020-10-27 03:41:00","2020","10","27","301","3","41","1.927"
"2020-10-27 03:42:00","2020","10","27","301","3","42","1.797"
"2020-10-27 03:43:00","2020","10","27","301","3","43","2.515"
"2020-10-27 03:44:00","2020","10","27","301","3","44","2.221"
"2020-10-27 03:45:00","2020","10","27","301","3","45","2.156"
"2020-10-27 03:46:00","2020","10","27","301","3","46","1.96"
"2020-10-27 03:47:00","2020","10","27","301","3","47","1.862"
"2020-10-27 03:48:00","2020","10","27","301","3","48","1.699"
"2020-10-27 03:49:00","2020","10","27","301","3","49","1.699"
"2020-10-27 03:50:00","2020","10","27","301","3","50","2.319"
"2020-10-27 03:51:00","2020","10","27","301","3","51","2.091"
"2020-10-27 03:52:00","2020","10","27","301","3","52","1.241"
"2020-10-27 03:53:00","2020","10","27","301","3","53","2.058"
"2020-10-27 03:54:00","2020","10","27","301","3","54","1.503"
"2020-10-27 03:55:00","2020","10","27","301","3","55","1.601"
"2020-10-27 03:56:00","2020","10","27","301","3","56","2.123"
"2020-10-27 03:57:00","2020","10","27","301","3","57","1.764"
"2020-10-27 03:58:00","2020","10","27","301","3","58","2.058"
"2020-10-27 03:59:00","2020","10","27","301","3","59","2.319"
"2020-10-27 04:00:00","2020","10","27","301","4","0","1.601"
"2020-10-27 04:01:00","2020","10","27","301","4","1","1.601"
"2020-10-27 04:02:00","2020","10","27","301","4","2","2.025"
"2020-10-27 04:03:00","2020","10","27","301","4","3","1.797"
"2020-10-27 04:04:00","2020","10","27","301","4","4","2.156"
"2020-10-27 04:05:00","2020","10","27","301","4","5","1.764"
"2020-10-27 04:06:00","2020","10","27","301","4","6","2.254"
"2020-10-27 04:07:00","2020","10","27","301","4","7","2.287"
"2020-10-27 04:08:00","2020","10","27","301","4","8","1.993"
"2020-10-27 04:09:00","2020","10","27","301","4","9","2.287"
"2020-10-27 04:10:00","2020","10","27","301","4","10","1.666"
"2020-10-27 04:11:00","2020","10","27","301","4","11","1.274"
"2020-10-27 04:12:00","2020","10","27","301","4","12","1.339"
"2020-10-27 04:13:00","2020","10","27","301","4","13","1.372"
"2020-10-27 04:14:00","2020","10","27","301","4","14","1.731"
"2020-10-27 04:15:00","2020","10","27","301","4","15","1.699"
"2020-10-27 04:16:00","2020","10","27","301","4","16","1.797"
"2020-10-27 04:17:00","2020","10","27","301","4","17","2.287"
"2020-10-27 04:18:00","2020","10","27","301","4","18","1.96"
"2020-10-27 04:19:00","2020","10","27","301","4","19","2.123"
"2020-10-27 04:20:00","2020","10","27","301","4","20","2.45"
"2020-10-27 04:21:00","2020","10","27","301","4","21","2.091"
"2020-10-27 04:22:00","2020","10","27","301","4","22","2.025"
"2020-10-27 04:23:00","2020","10","27","301","4","23","1.927"
"2020-10-27 04:24:00","2020","10","27","301","4","24","1.895"
"2020-10-27 04:25:00","2020","10","27","301","4","25","2.221"
"2020-10-27 04:26:00","2020","10","27","301","4","26","2.548"
"2020-10-27 04:27:00","2020","10","27","301","4","27","1.797"
"2020-10-27 04:28:00","2020","10","27","301","4","28","1.601"
"2020-10-27 04:29:00","2020","10","27","301","4","29","1.862"
"2020-10-27 04:30:00","2020","10","27","301","4","30","2.025"
"2020-10-27 04:31:00","2020","10","27","301","4","31","2.352"
"2020-10-27 04:32:00","2020","10","27","301","4","32","2.45"
"2020-10-27 04:33:00","2020","10","27","301","4","33","2.123"
"2020-10-27 04:34:00","2020","10","27","301","4","34","2.156"
"2020-10-27 04:35:00","2020","10","27","301","4","35","1.699"
"2020-10-27 04:36:00","2020","10","27","301","4","36","1.666"
"2020-10-27 04:37:00","2020","10","27","301","4","37","1.274"
"2020-10-27 04:38:00","2020","10","27","301","4","38","1.405"
"2020-10-27 04:39:00","2020","10","27","301","4","39","1.405"
"2020-10-27 04:40:00","2020","10","27","301","4","40","1.797"
"2020-10-27 04:41:00","2020","10","27","301","4","41","1.633"
"2020-10-27 04:42:00","2020","10","27","301","4","42","2.483"
"2020-10-27 04:43:00","2020","10","27","301","4","43","2.319"
"2020-10-27 04:44:00","2020","10","27","301","4","44","2.319"
"2020-10-27 04:45:00","2020","10","27","301","4","45","2.483"
"2020-10-27 04:46:00","2020","10","27","301","4","46","2.221"
"2020-10-27 04:47:00","2020","10","27","301","4","47","2.319"
"2020-10-27 04:48:00","2020","10","27","301","4","48","2.091"
"2020-10-27 04:49:00","2020","10","27","301","4","49","1.797"
"2020-10-27 04:50:00","2020","10","27","301","4","50","1.927"
"2020-10-27 04:51:00","2020","10","27","301","4","51","2.254"
"2020-10-27 04:52:00","2020","10","27","301","4","52","2.189"
"2020-10-27 04:53:00","2020","10","27","301","4","53","1.993"
"2020-10-27 04:54:00","2020","10","27","301","4","54","2.548"
"2020-10-27 04:55:00","2020","10","27","301","4","55","2.156"
"2020-10-27 04:56:00","2020","10","27","301","4","56","1.731"
"2020-10-27 04:57:00","2020","10","27","301","4","57","1.993"
"2020-10-27 04:58:00","2020","10","27","301","4","58","1.993"
"2020-10-27 04:59:00","2020","10","27","301","4","59","2.058"
"2020-10-27 05:00:00","2020","10","27","301","5","0","1.633"
"2020-10-27 05:01:00","2020","10","27","301","5","1","2.581"
"2020-10-27 05:02:00","2020","10","27","301","5","2","2.189"
"2020-10-27 05:03:00","2020","10","27","301","5","3","1.829"
"2020-10-27 05:04:00","2020","10","27","301","5","4","1.274"
"2020-10-27 05:05:00","2020","10","27","301","5","5","1.862"
"2020-10-27 05:06:00","2020","10","27","301","5","6","1.47"
"2020-10-27 05:07:00","2020","10","27","301","5","7","1.503"
"2020-10-27 05:08:00","2020","10","27","301","5","8","1.797"
"2020-10-27 05:09:00","2020","10","27","301","5","9","1.503"
"2020-10-27 05:10:00","2020","10","27","301","5","10","2.091"
"2020-10-27 05:11:00","2020","10","27","301","5","11","2.646"
"2020-10-27 05:12:00","2020","10","27","301","5","12","1.862"
"2020-10-27 05:13:00","2020","10","27","301","5","13","1.797"
"2020-10-27 05:14:00","2020","10","27","301","5","14","1.993"
"2020-10-27 05:15:00","2020","10","27","301","5","15","1.699"
"2020-10-27 05:16:00","2020","10","27","301","5","16","1.764"
"2020-10-27 05:17:00","2020","10","27","301","5","17","1.405"
"2020-10-27 05:18:00","2020","10","27","301","5","18","1.895"
"2020-10-27 05:19:00","2020","10","27","301","5","19","1.666"
"2020-10-27 05:20:00","2020","10","27","301","5","20","1.666"
"2020-10-27 05:21:00","2020","10","27","301","5","21","1.568"
"2020-10-27 05:22:00","2020","10","27","301","5","22","1.568"
"2020-10-27 05:23:00","2020","10","27","301","5","23","1.797"
"2020-10-27 05:24:00","2020","10","27","301","5","24","1.437"
"2020-10-27 05:25:00","2020","10","27","301","5","25","1.927"
"2020-10-27 05:26:00","2020","10","27","301","5","26","1.829"
"2020-10-27 05:27:00","2020","10","27","301","5","27","1.241"
"2020-10-27 05:28:00","2020","10","27","301","5","28","0.751"
"2020-10-27 05:29:00","2020","10","27","301","5","29","0.947"
"2020-10-27 05:30:00","2020","10","27","301","5","30","1.699"
"2020-10-27 05:31:00","2020","10","27","301","5","31","2.254"
"2020-10-27 05:32:00","2020","10","27","301","5","32","1.568"
"2020-10-27 05:33:00","2020","10","27","301","5","33","1.535"
"2020-10-27 05:34:00","2020","10","27","301","5","34","1.601"
"2020-10-27 05:35:00","2020","10","27","301","5","35","1.993"
"2020-10-27 05:36:00","2020","10","27","301","5","36","1.797"
"2020-10-27 05:37:00","2020","10","27","301","5","37","1.633"
"2020-10-27 05:38:00","2020","10","27","301","5","38","1.927"
"2020-10-27 05:39:00","2020","10","27","301","5","39","2.679"
"2020-10-27 05:40:00","2020","10","27","301","5","40","2.613"
"2020-10-27 05:41:00","2020","10","27","301","5","41","2.221"
"2020-10-27 05:42:00","2020","10","27","301","5","42","1.764"
"2020-10-27 05:43:00","2020","10","27","301","5","43","1.47"
"2020-10-27 05:44:00","2020","10","27","301","5","44","1.633"
"2020-10-27 05:45:00","2020","10","27","301","5","45","1.731"
"2020-10-27 05:46:00","2020","10","27","301","5","46","1.045"
"2020-10-27 05:47:00","2020","10","27","301","5","47","1.143"
"2020-10-27 05:48:00","2020","10","27","301","5","48","1.274"
"2020-10-27 05:49:00","2020","10","27","301","5","49","1.601"
"2020-10-27 05:50:00","2020","10","27","301","5","50","1.209"
"2020-10-27 05:51:00","2020","10","27","301","5","51","1.731"
"2020-10-27 05:52:00","2020","10","27","301","5","52","1.503"
"2020-10-27 05:53:00","2020","10","27","301","5","53","1.47"
"2020-10-27 05:54:00","2020","10","27","301","5","54","1.699"
"2020-10-27 05:55:00","2020","10","27","301","5","55","1.731"
"2020-10-27 05:56:00","2020","10","27","301","5","56","1.862"
"2020-10-27 05:57:00","2020","10","27","301","5","57","1.862"
