"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.876104643E0,-3.572159958E1,-2.316779900E1,-2.770619965E1
1.886104643E0,-3.577040100E1,-2.314340019E1,-2.769400024E1
1.896104643E0,-3.583139801E1,-2.314340019E1,-2.763299942E1
1.906104643E0,-3.584359741E1,-2.310680008E1,-2.754759979E1
1.916104643E0,-3.581919861E1,-2.315559959E1,-2.757199860E1
1.926104643E0,-3.578260040E1,-2.319219971E1,-2.762080002E1
1.936104643E0,-3.570940018E1,-2.319219971E1,-2.760859871E1
1.946104643E0,-3.566059875E1,-2.315559959E1,-2.758419991E1
1.956104643E0,-3.558739853E1,-2.311899948E1,-2.760859871E1
1.966104643E0,-3.556299973E1,-2.308239937E1,-2.771839905E1
1.976104643E0,-3.556299973E1,-2.305799866E1,-2.774279976E1
1.986104643E0,-3.551419830E1,-2.307019997E1,-2.776719856E1
1.996104643E0,-3.552639771E1,-2.307019997E1,-2.781599998E1
2.006104643E0,-3.552639771E1,-2.307019997E1,-2.781599998E1
2.016104643E0,-3.552639771E1,-2.315559959E1,-2.792580032E1
2.026104643E0,-3.552639771E1,-2.326539993E1,-2.785260010E1
2.036104643E0,-3.559959793E1,-2.331419945E1,-2.787699890E1
2.046104643E0,-3.559959793E1,-2.336299896E1,-2.788920021E1
2.056104643E0,-3.561180115E1,-2.336299896E1,-2.795019913E1
2.066104643E0,-3.564839935E1,-2.331419945E1,-2.802339935E1
2.076104643E0,-3.568499756E1,-2.324099922E1,-2.810879898E1
2.086104643E0,-3.567279816E1,-2.322879982E1,-2.807219887E1
2.096104643E0,-3.564839935E1,-2.314340019E1,-2.798679924E1
2.106104643E0,-3.567279816E1,-2.308239937E1,-2.810879898E1
2.116104643E0,-3.567279816E1,-2.304579926E1,-2.816979980E1
2.126104643E0,-3.569720078E1,-2.305799866E1,-2.813319969E1
2.136104643E0,-3.567279816E1,-2.304579926E1,-2.818199921E1
2.146104643E0,-3.566059875E1,-2.304579926E1,-2.823079872E1
2.156104643E0,-3.555080032E1,-2.305799866E1,-2.818199921E1
2.166104643E0,-3.551419830E1,-2.304579926E1,-2.827960014E1
2.176104643E0,-3.547760010E1,-2.300919914E1,-2.835280037E1
2.186104643E0,-3.540439987E1,-2.305799866E1,-2.827960014E1
2.196104643E0,-3.536779785E1,-2.305799866E1,-2.823079872E1
2.206104643E0,-3.530680084E1,-2.307019997E1,-2.825519943E1
2.216104643E0,-3.529459763E1,-2.311899948E1,-2.820639992E1
2.226104643E0,-3.529459763E1,-2.319219971E1,-2.816979980E1
2.236104643E0,-3.529459763E1,-2.322879982E1,-2.808440018E1
2.246104643E0,-3.527019882E1,-2.328979874E1,-2.803559875E1
2.256104643E0,-3.529459763E1,-2.337520027E1,-2.799899864E1
2.266104643E0,-3.531900024E1,-2.336299896E1,-2.803559875E1
2.276104643E0,-3.531900024E1,-2.342399979E1,-2.804780006E1
2.286104643E0,-3.530680084E1,-2.350939941E1,-2.801119995E1
2.296104643E0,-3.533119965E1,-2.363139915E1,-2.791359901E1
2.306104643E0,-3.530680084E1,-2.372900009E1,-2.791359901E1
2.316104643E0,-3.531900024E1,-2.388759995E1,-2.793799973E1
2.326104643E0,-3.534339905E1,-2.408279991E1,-2.796239853E1
2.336104643E0,-3.524580002E1,-2.427799988E1,-2.802339935E1
2.346104643E0,-3.522140121E1,-2.459519958E1,-2.797459984E1
2.356104643E0,-3.519699860E1,-2.498559952E1,-2.787699890E1
2.366104643E0,-3.517259979E1,-2.537599945E1,-2.786479950E1
2.376104643E0,-3.508720016E1,-2.581519890E1,-2.792580032E1
2.386104643E0,-3.498960114E1,-2.640079880E1,-2.786479950E1
2.396104643E0,-3.490419769E1,-2.707180023E1,-2.786479950E1
2.406104643E0,-3.469680023E1,-2.775499916E1,-2.782819939E1
2.416104643E0,-3.456259918E1,-2.858459854E1,-2.775499916E1
2.426104643E0,-3.431859970E1,-2.937759972E1,-2.766959953E1
2.436104643E0,-3.406240082E1,-3.029259872E1,-2.758419991E1
2.446104643E0,-3.379399872E1,-3.124419975E1,-2.748659897E1
2.456104643E0,-3.352560043E1,-3.224459839E1,-2.731579971E1
2.466104643E0,-3.329380035E1,-3.319619751E1,-2.710840034E1
2.476104643E0,-3.312300110E1,-3.422100067E1,-2.681559944E1
2.486104643E0,-3.303759766E1,-3.528239822E1,-2.643739891E1
2.496104643E0,-3.296440125E1,-3.629499817E1,-2.601039886E1
2.506104643E0,-3.290340042E1,-3.740520096E1,-2.557119942E1
2.516104643E0,-3.280579758E1,-3.841780090E1,-2.510759926E1
2.526104643E0,-3.284239960E1,-3.954019928E1,-2.450979996E1
2.536104643E0,-3.284239960E1,-4.067480087E1,-2.382659912E1
2.546104643E0,-3.286679840E1,-4.184600067E1,-2.311899948E1
2.556104643E0,-3.279359818E1,-4.294400024E1,-2.235039902E1
2.566104643E0,-3.281800079E1,-4.406639862E1,-2.155739975E1
2.576104643E0,-3.278139877E1,-4.513999939E1,-2.069120026E1
2.586104643E0,-3.279359818E1,-4.609159851E1,-1.993479919E1
2.596104643E0,-3.278139877E1,-4.714080048E1,-1.910519981E1
2.606104643E0,-3.261059952E1,-4.810459900E1,-1.814139938E1
2.616104643E0,-3.253739929E1,-4.903179932E1,-1.729960060E1
2.626104643E0,-3.242760086E1,-4.988579941E1,-1.639679909E1
2.636104643E0,-3.234220123E1,-5.064220047E1,-1.553059959E1
2.646104643E0,-3.213479996E1,-5.133760071E1,-1.459119987E1
2.656104643E0,-3.201279831E1,-5.213059998E1,-1.374940014E1
2.666104643E0,-3.181760025E1,-5.286259842E1,-1.276119995E1
2.676104643E0,-3.168339920E1,-5.342379761E1,-1.184619999E1
2.686104643E0,-3.167119980E1,-5.385079956E1,-1.110200024E1
2.696104643E0,-3.161019897E1,-5.438759995E1,-1.012599945E1
2.706104643E0,-3.152479935E1,-5.487559891E1,-9.259799957E0
2.716104643E0,-3.142720032E1,-5.537579727E1,-8.283800125E0
2.726104643E0,-3.150039864E1,-5.576619720E1,-7.490799904E0
2.736104643E0,-3.157359886E1,-5.604679871E1,-6.661200047E0
2.746104643E0,-3.154920006E1,-5.637619781E1,-5.831599712E0
2.756104643E0,-3.159799957E1,-5.668119812E1,-4.989799976E0
2.766104643E0,-3.153699875E1,-5.707159805E1,-4.099199772E0
2.776104643E0,-3.152479935E1,-5.724239731E1,-3.428200006E0
2.786104643E0,-3.159799957E1,-5.736439896E1,-2.671799898E0
2.796104643E0,-3.169559860E1,-5.758399963E1,-1.878799915E0
2.806104643E0,-3.159799957E1,-5.774259949E1,-1.049199939E0
2.816104643E0,-3.153699875E1,-5.788899994E1,-2.561999857E-1
2.826104643E0,-3.159799957E1,-5.802319717E1,6.344000101E-1
2.836104643E0,-3.164679909E1,-5.815739822E1,1.451799989E0
2.846104643E0,-3.179319954E1,-5.820619965E1,2.220399857E0
2.856104643E0,-3.184199905E1,-5.824279785E1,3.049999952E0
2.866104643E0,-3.186639977E1,-5.834040070E1,3.830799818E0
2.876104643E0,-3.189079857E1,-5.832819748E1,4.477399826E0
2.886104643E0,-3.195179939E1,-5.830379868E1,5.136199951E0
2.896104643E0,-3.201279831E1,-5.830379868E1,5.880399704E0
2.906104643E0,-3.209819794E1,-5.827939987E1,6.417200089E0
2.916104643E0,-3.209819794E1,-5.829159927E1,7.075999737E0
2.926104643E0,-3.208599854E1,-5.821839905E1,7.710399628E0
2.936104643E0,-3.208599854E1,-5.821839905E1,8.247200012E0
2.946104643E0,-3.207379913E1,-5.819400024E1,8.796199799E0
2.956104643E0,-3.211040115E1,-5.813299942E1,9.333000183E0
2.966104643E0,-3.224459839E1,-5.813299942E1,9.845399857E0
2.976104643E0,-3.229339981E1,-5.815739822E1,1.027239990E1
2.986104643E0,-3.235440063E1,-5.812080002E1,1.074819946E1
2.996104643E0,-3.236660004E1,-5.803540039E1,1.115079975E1
3.006104643E0,-3.237879944E1,-5.803540039E1,1.148019981E1
3.016104643E0,-3.237879944E1,-5.798659897E1,1.191940022E1
3.026104643E0,-3.241539764E1,-5.786459732E1,1.224879932E1
3.036104643E0,-3.236660004E1,-5.776699829E1,1.251719952E1
3.046104643E0,-3.224459839E1,-5.774259949E1,1.288319969E1
3.056104643E0,-3.219580078E1,-5.765719986E1,1.326139927E1
3.066104643E0,-3.215919876E1,-5.758399963E1,1.363959980E1
3.076104643E0,-3.217139816E1,-5.752299881E1,1.387139988E1
3.086104643E0,-3.209819794E1,-5.752299881E1,1.423740005E1
3.096104643E0,-3.209819794E1,-5.747419739E1,1.454239941E1
3.106104643E0,-3.207379913E1,-5.749860001E1,1.484739971E1
3.116104643E0,-3.204940033E1,-5.751079941E1,1.514019966E1
3.126104643E0,-3.202499771E1,-5.747419739E1,1.534759998E1
3.136104643E0,-3.198839951E1,-5.746199799E1,1.548180008E1
3.146104643E0,-3.190299988E1,-5.751079941E1,1.561599922E1
3.156104643E0,-3.186639977E1,-5.752299881E1,1.583559990E1
3.166104643E0,-3.187859917E1,-5.747419739E1,1.595759964E1
3.176104643E0,-3.187859917E1,-5.746199799E1,1.596980000E1
3.186104643E0,-3.185419846E1,-5.744979858E1,1.600639915E1
3.196104643E0,-3.190299988E1,-5.742539978E1,1.601860046E1
3.206104643E0,-3.192739868E1,-5.742539978E1,1.598199940E1
3.216104643E0,-3.196399879E1,-5.736439896E1,1.598199940E1
3.226104643E0,-3.198839951E1,-5.730339813E1,1.590880013E1
3.236104643E0,-3.202499771E1,-5.729119873E1,1.584779930E1
3.246104643E0,-3.203720093E1,-5.725460052E1,1.572579956E1
3.256104643E0,-3.202499771E1,-5.721799850E1,1.562819958E1
3.266104643E0,-3.207379913E1,-5.720579910E1,1.550619984E1
3.276104643E0,-3.204940033E1,-5.724239731E1,1.546959972E1
3.286104643E0,-3.204940033E1,-5.725460052E1,1.535979939E1
3.296104643E0,-3.201279831E1,-5.730339813E1,1.521339989E1
3.306104643E0,-3.208599854E1,-5.734000015E1,1.507919979E1
3.316104643E0,-3.204940033E1,-5.740099716E1,1.499380016E1
3.326104643E0,-3.198839951E1,-5.747419739E1,1.484739971E1
3.336104643E0,-3.197620010E1,-5.757180023E1,1.463999939E1
3.346104643E0,-3.189079857E1,-5.765719986E1,1.443260002E1
3.356104643E0,-3.185419846E1,-5.771820068E1,1.406659985E1
3.366104643E0,-3.186639977E1,-5.781579971E1,1.367619991E1
3.376104643E0,-3.184199905E1,-5.791339874E1,1.321259975E1
3.386104643E0,-3.170779991E1,-5.805979919E1,1.272459984E1
3.396104643E0,-3.161019897E1,-5.820619965E1,1.213899994E1
3.406104643E0,-3.162240028E1,-5.832819748E1,1.140699959E1
3.416104643E0,-3.152479935E1,-5.845019913E1,1.072379971E1
3.426104643E0,-3.150039864E1,-5.857220078E1,9.930799484E0
3.436104643E0,-3.141499901E1,-5.862099838E1,9.137800217E0
3.446104643E0,-3.129299927E1,-5.863319778E1,8.259399414E0
3.456104643E0,-3.119540024E1,-5.868199921E1,7.344399929E0
3.466104643E0,-3.114659882E1,-5.869419861E1,6.392799854E0
3.476104643E0,-3.115880013E1,-5.859659958E1,5.343599796E0
3.486104643E0,-3.107339859E1,-5.848679733E1,4.367599964E0
3.496104643E0,-3.106119919E1,-5.841359711E1,3.318399906E0
3.506104643E0,-3.098799896E1,-5.820619965E1,2.244799852E0
3.516104643E0,-3.096360016E1,-5.807199860E1,1.183400035E0
3.526104643E0,-3.097579956E1,-5.792559814E1,1.951999962E-1
3.536104643E0,-3.098799896E1,-5.766939926E1,-8.539999723E-1
3.546104643E0,-3.093919945E1,-5.736439896E1,-1.903199911E0
3.556104643E0,-3.087819862E1,-5.712039948E1,-2.915799856E0
3.566104643E0,-3.086599922E1,-5.690079880E1,-3.745399952E0
3.576104643E0,-3.089039993E1,-5.654699707E1,-4.623799801E0
3.586104643E0,-3.090259933E1,-5.618099976E1,-5.489999771E0
3.596104643E0,-3.093919945E1,-5.580279922E1,-6.356199741E0
3.606104643E0,-3.096360016E1,-5.543679810E1,-7.210199833E0
3.616104643E0,-3.100020027E1,-5.505859756E1,-8.015399933E0
3.626104643E0,-3.104899979E1,-5.454619980E1,-8.930399895E0
3.636104643E0,-3.112220001E1,-5.400939941E1,-9.821000099E0
3.646104643E0,-3.118319893E1,-5.341159821E1,-1.079699993E1
3.656104643E0,-3.123199844E1,-5.285039902E1,-1.165100002E1
3.666104643E0,-3.136619949E1,-5.233799744E1,-1.248059940E1
3.676104643E0,-3.137839890E1,-5.175239944E1,-1.337119961E1
3.686104643E0,-3.141499901E1,-5.110580063E1,-1.416419983E1
3.696104643E0,-3.147599983E1,-5.038599777E1,-1.499380016E1
3.706104643E0,-3.157359886E1,-4.966619873E1,-1.577460003E1
3.716104643E0,-3.163459969E1,-4.898299789E1,-1.651879883E1
3.726104643E0,-3.178100014E1,-4.828759766E1,-1.716539955E1
3.736104643E0,-3.182979965E1,-4.755559921E1,-1.788520050E1
3.746104643E0,-3.182979965E1,-4.683580017E1,-1.855620003E1
3.756104643E0,-3.193959999E1,-4.598180008E1,-1.919059944E1
3.766104643E0,-3.207379913E1,-4.518880081E1,-1.986159897E1
