"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.749015700E-1,-1.015740037E0,3.368043184E0,9.279925346E0
3.769102160E-1,-9.582792521E-1,3.463811398E0,9.203310966E0
3.789191740E-1,-8.960300088E-1,3.583521366E0,9.179368973E0
3.809285490E-1,-8.481459618E-1,3.712808371E0,9.174580574E0
3.829384450E-1,-7.858967185E-1,3.822941542E0,9.136273384E0
3.849489140E-1,-7.188590765E-1,3.909132719E0,9.141061783E0
3.869598510E-1,-6.087257862E-1,3.943250179E0,9.054870605E0
3.889714660E-1,-5.458779931E-1,4.005499363E0,8.992621422E0
3.909837060E-1,-4.884171486E-1,4.034229755E0,8.911218643E0
3.929966220E-1,-4.405331016E-1,4.072536945E0,8.863334656E0
3.950101120E-1,-3.926490843E-1,4.058171749E0,8.781931877E0
3.970239140E-1,-3.303998411E-1,4.043806553E0,8.580819130E0
3.990381330E-1,-3.208230138E-1,4.000710964E0,8.499416351E0
4.010526640E-1,-3.160346150E-1,3.904344320E0,8.494627953E0
4.030674030E-1,-3.639186621E-1,3.784634352E0,8.456320763E0
4.050822470E-1,-4.405331016E-1,3.669712543E0,8.532935143E0
4.070928200E-1,-4.644751251E-1,3.588309765E0,8.576030731E0
4.091036010E-1,-4.692635238E-1,3.502118587E0,8.552088737E0
4.111146430E-1,-4.692635238E-1,3.478176594E0,8.528146744E0
4.131259970E-1,-4.309563041E-1,3.449446201E0,8.528146744E0
4.151376640E-1,-4.453215301E-1,3.396773577E0,8.547300339E0
4.171494870E-1,-4.453215301E-1,3.372831583E0,8.638279915E0
4.191616740E-1,-4.548983276E-1,3.348889589E0,8.729259491E0
4.211741740E-1,-4.165911078E-1,3.363254786E0,8.810662270E0
4.231869870E-1,-3.926490843E-1,3.348889589E0,8.872911453E0
4.251998510E-1,-3.734954596E-1,3.334524393E0,8.882488251E0
4.272127680E-1,-3.256114423E-1,3.372831583E0,8.954314232E0
4.292258930E-1,-3.064578176E-1,3.391985178E0,9.045293808E0
4.312391220E-1,-2.394201756E-1,3.420715570E0,9.054870605E0
4.332524560E-1,-1.532289088E-1,3.425503969E0,9.021351814E0
4.352658410E-1,-9.097966552E-2,3.415927172E0,8.992621422E0
4.372750080E-1,-8.619125932E-2,3.420715570E0,9.069235802E0
4.392844870E-1,-8.140286058E-2,3.401561975E0,9.179368973E0
4.412943310E-1,-7.661445439E-2,3.368043184E0,9.303867340E0
4.433046430E-1,-6.703764945E-2,3.368043184E0,9.418789864E0
4.453154760E-1,-4.309562966E-2,3.358466387E0,9.524134636E0
4.473266740E-1,-4.309562966E-2,3.310582399E0,9.582193375E0
4.493384450E-1,-1.053448766E-1,3.329735994E0,9.677961349E0
4.513507370E-1,-1.819593310E-1,3.253121614E0,9.740211487E0
4.533633410E-1,-2.633621991E-1,3.233968019E0,9.725846291E0
4.553762060E-1,-3.303998411E-1,3.214814425E0,9.740211487E0
4.573893310E-1,-3.830722570E-1,3.176506996E0,9.744999886E0
4.594026640E-1,-4.022258818E-1,3.128623009E0,9.706692696E0
4.614161530E-1,-4.213795066E-1,3.109469414E0,9.668384552E0
4.634299560E-1,-4.261679053E-1,3.066373825E0,9.625288963E0
4.654439660E-1,-4.261679053E-1,3.023278236E0,9.606135368E0
4.674579760E-1,-4.022258818E-1,2.965817451E0,9.586981773E0
4.694720390E-1,-4.165911078E-1,2.956240654E0,9.630077362E0
4.714816740E-1,-3.926490843E-1,2.913144827E0,9.630077362E0
4.734915700E-1,-4.070142806E-1,2.860472441E0,9.586981773E0
4.755017780E-1,-4.118026793E-1,2.822165251E0,9.572616577E0
4.775121950E-1,-4.261679053E-1,2.773682594E0,9.586981773E0
4.795230810E-1,-4.644751251E-1,2.740163803E0,9.625288963E0
4.815342260E-1,-4.644751251E-1,2.677914619E0,9.630077362E0
4.835458930E-1,-4.453215301E-1,2.610877037E0,9.577404976E0
4.855580810E-1,-4.309563041E-1,2.567781210E0,9.572616577E0
4.875706330E-1,-3.878606856E-1,2.505532026E0,9.558251381E0
4.895836530E-1,-3.734954596E-1,2.448071241E0,9.538499832E0
4.915968830E-1,-3.399766386E-1,2.390610456E0,9.543288231E0
4.936104760E-1,-3.112462163E-1,2.313995838E0,9.514557838E0
4.956243830E-1,-2.729389966E-1,2.251746655E0,9.509769440E0
4.976383410E-1,-2.489969730E-1,2.184709072E0,9.524134636E0
4.996524030E-1,-2.059013397E-1,2.122459888E0,9.543288231E0
5.016637060E-1,-1.628057212E-1,2.041056871E0,9.500192642E0
5.036752680E-1,-1.244984865E-1,1.988384485E0,9.504981041E0
5.056870390E-1,-7.182604820E-2,1.940500498E0,9.577404976E0
5.076988620E-1,-4.788403399E-3,1.906981707E0,9.644442558E0
5.097108930E-1,6.703764945E-2,1.883039594E0,9.725846291E0
5.117229240E-1,1.340752989E-1,1.854309201E0,9.744999886E0
5.137351640E-1,1.963245422E-1,1.859097600E0,9.797672272E0
5.157475600E-1,2.202665508E-1,1.873462796E0,9.874286652E0
5.177599560E-1,2.825157940E-1,1.863885999E0,9.883863449E0
5.197725080E-1,3.208230138E-1,1.892616391E0,9.898228645E0
5.217850600E-1,3.447650373E-1,1.892616391E0,9.888651848E0
5.237977680E-1,3.782838583E-1,1.906981707E0,9.826402664E0
5.258106850E-1,3.830722570E-1,1.935712099E0,9.831191063E0
5.278230280E-1,3.734954596E-1,1.945288897E0,9.855133057E0
5.298354760E-1,3.543418646E-1,1.940500498E0,9.845556259E0
5.318467780E-1,3.687070608E-1,1.954865694E0,9.783307076E0
5.338582370E-1,3.256114423E-1,1.978807688E0,9.764153481E0
5.358698510E-1,2.825157940E-1,1.954865694E0,9.735423088E0
5.378815180E-1,2.394201756E-1,1.964442492E0,9.697115898E0
5.398933930E-1,2.011129409E-1,1.964442492E0,9.692327499E0
5.419053200E-1,1.436520964E-1,1.921346903E0,9.711481094E0
5.439174560E-1,1.244984865E-1,1.935712099E0,9.749788284E0
5.459297990E-1,1.340752989E-1,1.921346903E0,9.768941879E0
5.479421950E-1,1.053448766E-1,1.935712099E0,9.754576683E0
5.499547470E-1,9.097966552E-2,1.911770105E0,9.658807755E0
5.519672470E-1,4.788403213E-2,1.897404790E0,9.634865761E0
5.539799030E-1,-9.576806799E-3,1.873462796E0,9.649230957E0
5.559926640E-1,-6.224924326E-2,1.849520802E0,9.663596153E0
5.580055280E-1,-9.097966552E-2,1.806425214E0,9.687539101E0
5.600184450E-1,-1.005564705E-1,1.787271619E0,9.687539101E0
5.620278200E-1,-1.388636976E-1,1.777694821E0,9.682749748E0
5.640374560E-1,-1.723825186E-1,1.748964310E0,9.725846291E0
5.660474560E-1,-2.106897533E-1,1.729810715E0,9.721057892E0
5.680577160E-1,-2.202665508E-1,1.676539779E0,9.740211487E0
5.700684450E-1,-2.633621991E-1,1.657386184E0,9.744999886E0
5.720795390E-1,-2.920926213E-1,1.638232470E0,9.773730278E0
5.740912060E-1,-3.064578176E-1,1.595136881E0,9.754576683E0
5.761032370E-1,-2.968810201E-1,1.585560083E0,9.778518677E0
5.781159450E-1,-2.681505978E-1,1.547252893E0,9.783307076E0
5.801291740E-1,-2.394201756E-1,1.532887697E0,9.783307076E0
5.821426640E-1,-2.394201756E-1,1.513733983E0,9.812037468E0
5.841565700E-1,-2.250549644E-1,1.494580388E0,9.835979462E0
5.861705810E-1,-2.106897533E-1,1.499368787E0,9.835979462E0
5.881846430E-1,-2.154781520E-1,1.441908002E0,9.869498253E0
5.901988100E-1,-2.011129409E-1,1.437119603E0,9.893440247E0
5.922130280E-1,-1.771709323E-1,1.417966008E0,9.907805443E0
5.942269350E-1,-1.628057212E-1,1.379658699E0,9.912593842E0
5.962340700E-1,-1.197100878E-1,1.365293503E0,9.922170639E0
5.982416220E-1,-8.619125932E-2,1.360505104E0,9.936535835E0
6.002496950E-1,-6.703764945E-2,1.326986313E0,9.970054626E0
6.022582890E-1,-4.788403213E-2,1.298255920E0,9.979631424E0
6.042677160E-1,-4.309562966E-2,1.283890605E0,9.970054626E0
6.062779760E-1,-2.873042040E-2,1.259948611E0,9.936535835E0
6.082891740E-1,-9.576806799E-3,1.226429820E0,9.898228645E0
6.103013100E-1,9.576806799E-3,1.183334231E0,9.926959038E0
6.123143830E-1,3.351882473E-2,1.159392118E0,9.893440247E0
6.143280810E-1,2.873042040E-2,1.130661726E0,9.874286652E0
6.163422990E-1,4.788403213E-2,1.111508131E0,9.879075050E0
6.183570910E-1,5.267243832E-2,1.130661726E0,9.879075050E0
6.203722470E-1,7.661445439E-2,1.111508131E0,9.835979462E0
6.223876120E-1,7.661445439E-2,1.097142935E0,9.792883873E0
6.244029760E-1,1.053448766E-1,1.077989340E0,9.783307076E0
6.264176640E-1,1.149216816E-1,1.068412542E0,9.754576683E0
6.284324030E-1,1.484405100E-1,1.049258947E0,9.759365082E0
6.304453720E-1,1.436520964E-1,1.030105233E0,9.778518677E0
6.324583410E-1,1.388636976E-1,1.020528436E0,9.797672272E0
6.344696950E-1,1.915361285E-1,1.025316834E0,9.735423088E0
6.364778200E-1,1.963245422E-1,1.015740037E0,9.682749748E0
6.384863100E-1,1.771709323E-1,1.030105233E0,9.639654160E0
6.404952160E-1,1.723825186E-1,9.965864420E-1,9.610923767E0
6.425044870E-1,1.628057212E-1,9.870096445E-1,9.572616577E0
6.445143830E-1,1.484405100E-1,1.001374841E0,9.558251381E0
6.465248510E-1,1.388636976E-1,9.582792521E-1,9.572616577E0
6.485361010E-1,1.292868853E-1,9.630676508E-1,9.553462982E0
6.505481330E-1,1.436520964E-1,9.726444483E-1,9.538499832E0
6.525608930E-1,1.723825186E-1,9.870096445E-1,9.490615845E0
6.545743310E-1,1.915361285E-1,9.870096445E-1,9.452308655E0
6.565882370E-1,1.867477298E-1,1.001374841E0,9.509769440E0
6.586026640E-1,1.580173075E-1,9.965864420E-1,9.538499832E0
6.606175080E-1,1.723825186E-1,9.726444483E-1,9.524134636E0
6.626326640E-1,1.723825186E-1,9.726444483E-1,9.490615845E0
6.646479760E-1,2.059013397E-1,9.534908533E-1,9.428366661E0
6.666596950E-1,2.154781520E-1,9.247604012E-1,9.409213066E0
6.686716220E-1,2.202665508E-1,9.151836038E-1,9.418789864E0
6.706837580E-1,2.298433632E-1,9.151836038E-1,9.452308655E0
6.726958410E-1,2.202665508E-1,8.912416101E-1,9.428366661E0
6.747080810E-1,2.059013397E-1,8.960300088E-1,9.370905876E0
6.767200080E-1,1.963245422E-1,9.008184075E-1,9.361329079E0
6.787321430E-1,1.771709323E-1,8.768763542E-1,9.332598686E0
6.807444350E-1,1.771709323E-1,8.816647530E-1,9.313444138E0
6.827569350E-1,1.819593310E-1,8.816647530E-1,9.308655739E0
6.847695910E-1,1.723825186E-1,9.056068063E-1,9.299078941E0
6.867806850E-1,2.250549644E-1,9.295488000E-1,9.346963882E0
6.887920390E-1,2.346317619E-1,9.343371987E-1,9.394847870E0
6.908034450E-1,2.633621991E-1,9.487023950E-1,9.423578262E0
6.928151120E-1,2.729389966E-1,9.726444483E-1,9.414001465E0
6.948270390E-1,2.681505978E-1,9.822212458E-1,9.394847870E0
6.968390700E-1,2.873041928E-1,9.822212458E-1,9.394847870E0
6.988514140E-1,2.585737705E-1,9.917980433E-1,9.399636269E0
7.008640180E-1,2.729389966E-1,9.822212458E-1,9.404424667E0
7.028768830E-1,2.633621991E-1,9.822212458E-1,9.399636269E0
7.048899030E-1,2.729389966E-1,9.774328470E-1,9.442731857E0
7.069029240E-1,3.112462163E-1,9.678560495E-1,9.490615845E0
7.089161010E-1,3.208230138E-1,9.343371987E-1,9.538499832E0
7.109293310E-1,3.256114423E-1,9.247604012E-1,9.606135368E0
7.129426120E-1,3.160346150E-1,9.008184075E-1,9.673172951E0
7.149554760E-1,3.208230138E-1,8.816647530E-1,9.701904297E0
7.169636010E-1,3.303998411E-1,8.672995567E-1,9.740211487E0
7.189720390E-1,3.351882398E-1,8.529343605E-1,9.768941879E0
7.209808930E-1,3.543418646E-1,8.289923668E-1,9.792883873E0
7.229903720E-1,3.734954596E-1,8.481459618E-1,9.840767860E0
7.250004760E-1,3.974374831E-1,8.337807655E-1,9.859921455E0
7.270111010E-1,4.070142806E-1,8.385691643E-1,9.907805443E0
7.290225080E-1,4.357447028E-1,8.577227592E-1,9.984419823E0
7.310346430E-1,4.788403511E-1,8.672995567E-1,1.004188061E1
7.330475600E-1,4.979939461E-1,8.720879555E-1,1.010891819E1
7.350611010E-1,5.267243981E-1,8.720879555E-1,1.016637897E1
7.370750600E-1,5.267243981E-1,8.912416101E-1,1.022383976E1
7.390895390E-1,5.315127969E-1,8.960300088E-1,1.026214695E1
7.411043830E-1,5.171475410E-1,8.912416101E-1,1.031960773E1
7.431194350E-1,5.123591423E-1,8.768763542E-1,1.036270332E1
7.451345910E-1,4.932055473E-1,8.816647530E-1,1.036749172E1
7.471459970E-1,4.596867263E-1,8.960300088E-1,1.034833813E1
7.491576120E-1,4.213795066E-1,8.960300088E-1,1.029566574E1
7.511694350E-1,3.926490843E-1,9.199720025E-1,1.024299335E1
7.531814660E-1,3.687070608E-1,9.056068063E-1,1.021426296E1
7.551936530E-1,3.256114423E-1,8.912416101E-1,1.019989777E1
7.572058410E-1,2.968810201E-1,8.577227592E-1,1.013764858E1
7.592182370E-1,2.346317619E-1,8.433575630E-1,1.009455299E1
7.612307890E-1,2.059013397E-1,8.289923668E-1,1.006103420E1
7.632435490E-1,1.675941199E-1,8.289923668E-1,1.003709221E1
7.652564140E-1,1.292868853E-1,8.098387122E-1,1.002272701E1
7.672673510E-1,1.197100878E-1,7.763199210E-1,1.004666901E1
7.692784970E-1,7.661445439E-2,7.858967185E-1,1.002272701E1
7.712898510E-1,4.309562966E-2,7.906851172E-1,1.007061100E1
7.733014660E-1,9.576806799E-3,8.002619147E-1,1.016159058E1
7.753133410E-1,-4.788403399E-3,8.337807655E-1,1.019989777E1
7.773253200E-1,-4.788403399E-3,8.289923668E-1,1.023820496E1
7.793375600E-1,-1.915361360E-2,8.529343605E-1,1.025735855E1
