"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.097108930E-1,-1.366693974E0,-2.701697350E-1,-3.595161485E-3
5.117229240E-1,-1.366693974E0,-2.850829959E-1,-9.986559860E-3
5.137351640E-1,-1.367759228E0,-2.968005538E-1,-1.957365684E-2
5.157475600E-1,-1.366693974E0,-3.042571843E-1,-3.022598661E-2
5.177599560E-1,-1.360302567E0,-3.063876629E-1,-4.194355011E-2
5.197725080E-1,-1.353911161E0,-3.063876629E-1,-5.792204663E-2
5.217850600E-1,-1.352845907E0,-3.127790391E-1,-7.177007198E-2
5.237977680E-1,-1.344324112E0,-3.149095178E-1,-8.881380409E-2
5.258106850E-1,-1.336867452E0,-3.213009238E-1,-1.058575287E-1
5.278230280E-1,-1.327280402E0,-3.213009238E-1,-1.260969639E-1
5.298354760E-1,-1.319823742E0,-3.276923001E-1,-1.452711523E-1
5.318467780E-1,-1.307040930E0,-3.308880031E-1,-1.644453406E-1
5.338582370E-1,-1.298519015E0,-3.383446336E-1,-1.846847683E-1
5.358698510E-1,-1.289997220E0,-3.426055610E-1,-2.049241960E-1
5.378815180E-1,-1.280410051E0,-3.511274457E-1,-2.251636237E-1
5.398933930E-1,-1.266562104E0,-3.532578945E-1,-2.454030514E-1
5.419053200E-1,-1.254844546E0,-3.628450036E-1,-2.667077184E-1
5.439174560E-1,-1.243126988E0,-3.660407066E-1,-2.880123854E-1
5.459297990E-1,-1.228213668E0,-3.692364097E-1,-3.071865737E-1
5.479421950E-1,-1.215430856E0,-3.745625615E-1,-3.252955377E-1
5.499547470E-1,-1.204778552E0,-3.820191920E-1,-3.476654291E-1
5.519672470E-1,-1.190930486E0,-3.916063011E-1,-3.657743931E-1
5.539799030E-1,-1.174952030E0,-4.011933804E-1,-3.817528784E-1
5.559926640E-1,-1.163234472E0,-4.097152650E-1,-3.977313936E-1
5.580055280E-1,-1.146190763E0,-4.193023443E-1,-4.115794003E-1
5.600184450E-1,-1.132342696E0,-4.278241992E-1,-4.264926612E-1
5.620278200E-1,-1.114233732E0,-4.374113083E-1,-4.382102489E-1
5.640374560E-1,-1.100385666E0,-4.438027143E-1,-4.488625526E-1
5.660474560E-1,-1.086537719E0,-4.501941204E-1,-4.573844373E-1
5.680577160E-1,-1.070559144E0,-4.576507509E-1,-4.680367708E-1
5.700684450E-1,-1.055645943E0,-4.576507509E-1,-4.744281471E-1
5.720795390E-1,-1.040732622E0,-4.640421271E-1,-4.808195531E-1
5.740912060E-1,-1.023688912E0,-4.683030546E-1,-4.882761836E-1
5.761032370E-1,-1.007710457E0,-4.693683088E-1,-4.914718866E-1
5.781159450E-1,-9.927971959E-1,-4.746944606E-1,-4.999937415E-1
5.801291740E-1,-9.768186808E-1,-4.778901637E-1,-5.021241903E-1
5.821426640E-1,-9.619054198E-1,-4.778901637E-1,-5.074504018E-1
5.841565700E-1,-9.459269047E-1,-4.810858667E-1,-5.095808506E-1
5.861705810E-1,-9.288831949E-1,-4.800206423E-1,-5.127765536E-1
5.881846430E-1,-9.139699340E-1,-4.778901637E-1,-5.127765536E-1
5.901988100E-1,-8.990566730E-1,-4.778901637E-1,-5.149070024E-1
5.922130280E-1,-8.830781579E-1,-4.725640118E-1,-5.159722567E-1
5.942269350E-1,-8.660344481E-1,-4.651073813E-1,-5.181027055E-1
5.962340700E-1,-8.489907384E-1,-4.587159753E-1,-5.181027055E-1
5.982416220E-1,-8.330122232E-1,-4.523245692E-1,-5.181027055E-1
6.002496950E-1,-8.149032593E-1,-4.448679388E-1,-5.170374513E-1
6.022582890E-1,-7.967942953E-1,-4.395417869E-1,-5.149070024E-1
6.042677160E-1,-7.808157802E-1,-4.310199022E-1,-5.138418078E-1
6.062779760E-1,-7.637720704E-1,-4.246285260E-1,-5.117112994E-1
6.082891740E-1,-7.488588095E-1,-4.193023443E-1,-5.095808506E-1
6.103013100E-1,-7.307498455E-1,-4.150414169E-1,-5.085155964E-1
6.123143830E-1,-7.137061357E-1,-4.129109383E-1,-5.063851476E-1
6.143280810E-1,-6.977276206E-1,-4.033238590E-1,-5.074504018E-1
6.163422990E-1,-6.817491055E-1,-4.001281559E-1,-5.063851476E-1
6.183570910E-1,-6.668358445E-1,-3.979976773E-1,-5.085155964E-1
6.203722470E-1,-6.540530920E-1,-3.894758224E-1,-5.095808506E-1
6.223876120E-1,-6.370093226E-1,-3.830844164E-1,-5.095808506E-1
6.244029760E-1,-6.242265701E-1,-3.777582645E-1,-5.127765536E-1
6.264176640E-1,-6.125090122E-1,-3.766930401E-1,-5.170374513E-1
